name;ul_x;ul_y;ll_x;ll_y;lr_x;lr_y;ur_x;ur_y
columnsep;65;0;210;3063;1501;3063;1271;0
header;72;176;72;206;1704;206;1704;176
A;887;239;887;268;910;268;910;239
B;918;432;918;451;931;451;931;432
A;513;465;513;465;513;465;513;465
B;1263;887;1263;906;1277;906;1277;887
B;882;912;882;939;903;939;903;912
A;366;982;366;987;371;987;371;982
A;719;1027;719;1035;726;1035;726;1027
A;1123;1519;1123;1519;1123;1519;1123;1519
A;755;1552;755;1557;760;1557;760;1552
C;885;1580;885;1608;906;1608;906;1580
A;898;2092;898;2100;905;2100;905;2092
A;370;2102;370;2105;373;2105;373;2102
D;895;2252;895;2278;916;2278;916;2252
A;1156;2499;1156;2514;1164;2514;1164;2499
A;1341;2864;1341;2866;1343;2866;1343;2864
