name;ul_x;ul_y;ll_x;ll_y;lr_x;lr_y;ur_x;ur_y
columnsep;283;0;160;3057;1453;3057;1246;0
header;146;103;146;136;1789;136;1789;103
A;954;165;954;192;974;192;974;165
B;956;903;956;929;975;929;975;903
A;813;1500;813;1516;822;1516;822;1500
C;953;1577;953;1605;973;1605;973;1577
D;395;1593;395;1610;403;1610;403;1593
B;598;1817;598;1835;611;1835;611;1817
C;567;2094;567;2112;581;2112;581;2094
B;533;2232;533;2248;541;2248;541;2232
D;961;2263;961;2290;983;2290;983;2263
B;933;2415;933;2431;942;2431;942;2415
B;219;2809;219;2835;227;2835;227;2809
B;461;2809;461;2823;470;2823;470;2809
A;194;2810;194;2825;203;2825;203;2810
B;561;2817;561;2841;579;2841;579;2817
